'account_number','service_class','service_index','oc_class','char1','char2'
'7048209010',S004,'800001855','60401099',X,''
'7048209010',S004,'800007790','60401018',X,''
'7048209010',S004,'800007790','60401018',X,X
'7048209010',S004,'800007790','60401018','',X
'7048209010',S036,'800001821','60804001',X,''
'7048209010',S036,'800001820','60804001',X,''
'7048209010',S004,'800001774','60401099',X,''
'7048209010',S004,'800007397','60401018','',X
'7048209010',S004,'800006185','60401018','',X
'7048209010',S004,'800006185','60804001',X,''
'7048209010',S004,'800008764','60401018',X,X
'7048209010',S004,'800008764','60401018',X,''
'7048209010',S004,'800003306','60401018','',X
'7048209010',S004,'800007397','60401099',X,''
'7048209010',S004,'800007555','60804001',X,''
'7048209010',S004,'800007555','60401018',X,''
'7048209010',S004,'800007555','60401018',X,X
'7048209010',S004,'800007555','60401018','',X
'7048209010',S004,'800007555','60401099',X,''
'7048209010',S004,'800007555','91507998',X,''
'7048209010',S004,'800008830','60401018','',X
'7048209010',S004,'800001773','60401018',X,X
'7048209010',S004,'800008765','60804001',X,''
'7048209010',S004,'800008765','60401018',X,''
'7048209010',S004,'800008765','60401018',X,X
'7048209010',S004,'800008765','60401018','',X
'7048209010',S004,'800008764','60401018','',X
'7048209010',S004,'800007662','60401018',X,''
'7048209010',S004,'800007662','60804001',X,''
'7048209010',S004,'800007662','60401018','',X
'7048209010',S004,'800007662','60401018',X,X
'7048209010',S004,'800008766','60401018',X,''
'7048209010',S004,'800008766','60804001',X,''
'7048209010',S004,'800008766','60401018','',X
'7048209010',S004,'800008766','60401018',X,X
'7048209010',S004,'800008768','60401018',X,''
'7048209010',S004,'800008768','60804001',X,''
'7048209010',S004,'800008768','60401018','',X
'7048209010',S004,'800008768','60401018',X,X
'7048209010',S004,'800008767','60401018',X,''
'7048209010',S004,'800008767','60804001',X,''
'7048209010',S004,'800008767','60401018','',X
'7048209010',S004,'800008767','60401018',X,X
'7048209010',S004,'800010284','60401018',X,X
'7048209010',S004,'800010284','60401018',X,''
'7048209010',S004,'800010651','60401018',X,''
'7048209010',S004,'800007446','60401099',X,''
'7048209010',S004,'800007446','91507998',X,''
'7048209010',S004,'800007662','60401099',X,''
'7048209010',S004,'800007662','91507998',X,''
'7048209010',S004,'800008766','60401099',X,''
'7048209010',S004,'800008766','91507998',X,''
'7048209010',S004,'800008767','60401099',X,''
'7048209010',S004,'800008767','91507998',X,''
'7048209010',S004,'800010651','60401018',X,X
'7048209010',S004,'800006185','91507998',X,''
'7048209010',S004,'800008765','60401099',X,''
'7048209010',S004,'800007501','60804001',X,''
'7048209010',S004,'800007501','60401018',X,''
'7048209010',S004,'800007501','60401018',X,X
'7048209010',S004,'800010284','91507998',X,''
'7048209010',S004,'800001828','60401018','',X
'7048209010',S004,'800007481','60401018',X,X
'7048209010',S004,'800007481','60401018',X,''
'7048209010',S004,'800007485','60401018',X,X
'7048209010',S004,'800007485','60401018',X,''
'7048209010',S004,'800007485','60401018','',X
'7048209010',S004,'800007397','60804001',X,''
'7048209010',S004,'800010571','60401018',X,''
'7048209010',S004,'800010571','60401018','',X
'7048209010',S004,'800010571','60401018',X,X
'7048209010',S001,'800008830','60804001',X,''
'7048209010',S001,'800008830','60401018',X,''
'7048209010',S001,'800008830','60401018','',X
'7048209010',S001,'800008830','60401018',X,X
'7048209010',S004,'800001774','91507998',X,''
'7048209010',S004,'800010571','60804001',X,''
'7048209010',S004,'800006662','60401018',X,''
'7048209010',S036,'800003262','60804001',X,''
'7048209010',S036,'800003262','60401018',X,''
'7048209010',S036,'800003262','60401018',X,X
'7048209010',S004,'800001290','60804001',X,''
'7048209010',S004,'800010284','60804001',X,''
'7048209010',S004,'800002131','60401018',X,''
'7048209010',S004,'800001776','60401018',X,''
'7048209010',S004,'800008769','60804001',X,''
'7048209010',S064,'800008560','91507998',X,''
'7048209010',S004,'800003371','60401018',X,''
'7048209010',S064,'800007478','91507998',X,''
'7048209010',S004,'800001773','91507998',X,''
'7048209010',S004,'800008769','60401018',X,''
'7048209010',S004,'800001828','60804001',X,''
'7048209010',S004,'800001828','91507998',X,''
'7048209010',S004,'800007477','60804001',X,''
'7048209010',S004,'800007397','91507998',X,''
'7048209010',S004,'800000717','60401018',X,X
'7048209010',S004,'800000717','60401018','',X
'7048209010',S004,'800001773','60401018','',X
'7048209010',S004,'800010284','60401018','',X
'7048209010',S004,'800007467','91507998',X,''
'7048209010',S004,'800007467','60804001',X,''
'7048209010',S004,'800007467','60401018',X,''
'7048209010',S004,'800007467','60401018','',X
'7048209010',S004,'800007467','60401018',X,X
'7048209010',S004,'800001290','60401018',X,''
'7048209010',S004,'800007477','60401018',X,''
'7048209010',S004,'800007477','60401018',X,X
'7048209010',S004,'800007477','60401018','',X
'7048209010',S064,'800008172','60804001',X,''
'7048209010',S004,'800001776','60804001',X,''
'7048209010',S004,'800001773','60401109',X,''
'7048209010',S004,'800006330','60401018',X,''
'7048209010',S004,'800006330','60401018','',X
'7048209010',S004,'800000717','60401109',X,''
'7048209010',S004,'800001290','60401109',X,''
'7048209010',S036,'800001821','60401018',X,''
'7048209010',S038,'800007446','60804001',X,''
'7048209010',S038,'800007446','60401018',X,''
'7048209010',S038,'800007446','60401018',X,X
'7048209010',S038,'800007446','60401018','',X
'7048209010',S004,'800002131','60804001',X,''
'7048209010',S036,'800001773','60401018','',X
'7048209010',S004,'800008764','60804001',X,''
'7048209010',S005,'800007377','60804001',X,''
'7048209010',S005,'800007377','60401018',X,''
'7048209010',S005,'800007377','60401018','',X
'7048209010',S005,'800007377','60401018',X,X
'7048209010',S005,'800007377','91507998',X,''
'7048209010',S005,'800007312','60804001',X,''
'7048209010',S005,'800007312','60401018',X,''
'7048209010',S005,'800007312','60401018','',X
'7048209010',S005,'800007312','60401018',X,X
'7048209010',S005,'800007312','91507998',X,''
'7048209010',S005,'800007313','60804001',X,''
'7048209010',S005,'800007313','60401018',X,''
'7048209010',S005,'800007313','60401018','',X
'7048209010',S005,'800007313','60401018',X,X
'7048209010',S005,'800007313','91507998',X,''
'7048209010',S004,'800001290','60401018',X,X
'7048209010',S004,'800001290','60401018','',X
'7048209010',S004,'800007600','60804001',X,''
'7048209010',S004,'800007600','60401018',X,''
'7048209010',S004,'800007600','60401018','',X
'7048209010',S004,'800007600','60401018',X,X
'7048209010',S004,'800009542','60401018',X,X
'7048209010',S004,'800009542','60401018','',X
'7048209010',S004,'800009542','60401018',X,''
'7048209010',S004,'800008769','60401018','',X
'7048209010',S079,'800006759','60804001',X,''
'7048209010',S004,'800010588','60401018',X,''
'7048209010',S004,'800010583','60804001',X,''
'7048209010',S004,'800010586','60401018',X,''
'7048209010',S004,'800010584','60401018',X,''
'7048209010',S004,'800010586','60804001',X,''
